primary_title,premiered,title_id,nudity,violence,profanity,alcohol,frightening
Coraline,2009,tt0327597,Mild,Mild,Mild,None,Severe
"Blood and Bone",2009,tt0346631,None,Moderate,Severe,Mild,Mild
"Inglourious Basterds",2009,tt0361748,Mild,Severe,Severe,Mild,Severe
"The Box",2009,tt0362478,None,Moderate,Mild,Mild,Moderate
Whiteout,2009,tt0365929,Mild,Moderate,Moderate,Moderate,Moderate
"Astro Boy",2009,tt0375568,None,Mild,Mild,Mild,Moderate
"The Lovely Bones",2009,tt0380510,Mild,Moderate,Mild,Mild,Moderate
Cargo,2009,tt0381940,None,Mild,Mild,None,Mild
"Where the Wild Things Are",2009,tt0386117,None,Mild,Mild,None,Moderate
"Youth in Revolt",2009,tt0403702,Moderate,Mild,Moderate,Moderate,None
Watchmen,2009,tt0409459,Severe,Severe,Severe,Mild,Severe
"Harry Potter and the Half-Blood Prince",2009,tt0417741,Mild,Moderate,Mild,Mild,Moderate
"Fantastic Mr. Fox",2009,tt0432283,None,Mild,Mild,Mild,Mild
Daybreakers,2009,tt0433362,Mild,Severe,Moderate,Mild,Moderate
G-Force,2009,tt0436339,None,Moderate,Mild,None,Mild
"Paper Man",2009,tt0437405,Mild,Mild,Moderate,Mild,Mild
"Terminator Salvation",2009,tt0438488,Mild,Moderate,Moderate,None,Moderate
Knowing,2009,tt0448011,None,Moderate,Mild,Mild,Severe
"Blood Creek",2009,tt0450336,Mild,Severe,Moderate,Mild,Severe
"Cirque du Freak: The Vampire's Assistant",2009,tt0450405,None,Mild,Mild,None,Moderate
"The Time Traveler's Wife",2009,tt0452694,Moderate,Mild,Mild,Mild,Mild
"Land of the Lost",2009,tt0457400,Moderate,Mild,Moderate,Mild,Mild
"X-Men Origins: Wolverine",2009,tt0458525,Mild,Moderate,Mild,Mild,Moderate
Push,2009,tt0465580,None,Moderate,Moderate,Moderate,Mild
"The Tournament",2009,tt0471041,Moderate,Severe,Moderate,Mild,Moderate
9,2009,tt0472033,None,Moderate,None,None,Severe
Notorious,2009,tt0472198,Severe,Moderate,Severe,Moderate,Mild
"State of Play",2009,tt0473705,None,Moderate,Moderate,Mild,Moderate
"The Secret of Kells",2009,tt0485601,None,Mild,None,None,Moderate
"Mr. Nobody",2009,tt0485947,Moderate,Mild,Mild,Mild,Mild
Fanboys,2009,tt0489049,Moderate,Mild,Moderate,Mild,None
"The Haunting in Connecticut",2009,tt0492044,None,Severe,Mild,Mild,Severe
Avatar,2009,tt0499549,Mild,Moderate,Moderate,Mild,Moderate
"Friday the 13th",2009,tt0758746,Severe,Severe,Severe,Severe,Severe
Thirst,2009,tt0762073,Severe,Severe,Moderate,Mild,Severe
"Planet 51",2009,tt0762125,Mild,Mild,None,None,Mild
Brothers,2009,tt0765010,Mild,Moderate,Severe,Moderate,Severe
"Aliens in the Attic",2009,tt0775552,Mild,Mild,Mild,Mild,None
"Everybody's Fine",2009,tt0780511,None,None,Mild,Mild,None
"The Princess and the Frog",2009,tt0780521,None,Mild,None,Mild,Moderate
"Imagine That",2009,tt0780567,None,None,None,None,None
"Hotel for Dogs",2009,tt0785006,None,Mild,Mild,Mild,Mild
"Balls Out: Gary the Tennis Coach",2009,tt0787470,Moderate,Mild,Moderate,Mild,None
"The Messenger",2009,tt0790712,Moderate,Mild,Severe,Moderate,Moderate
"Case 39",2009,tt0795351,None,Severe,Mild,Mild,Severe
"Star Trek",2009,tt0796366,Mild,Moderate,Mild,Mild,Moderate
"Blood: The Last Vampire",2009,tt0806027,None,Severe,Severe,None,Moderate
Carriers,2009,tt0806203,Mild,Moderate,Moderate,Mild,Mild
"Angels & Demons",2009,tt0808151,None,Severe,Mild,Mild,Severe
"Bright Star",2009,tt0810784,Mild,Mild,Mild,Mild,Mild
"The Stepfather",2009,tt0814335,Mild,Moderate,Mild,Mild,Moderate
"The Uninvited",2009,tt0815245,Mild,Moderate,Moderate,Mild,Severe
"Ghosts of Girlfriends Past",2009,tt0821640,Moderate,None,Mild,Mild,None
"The Soloist",2009,tt0821642,None,Mild,Moderate,Mild,Mild
"The Last Station",2009,tt0824758,Moderate,Mild,Mild,Mild,Mild
"Underworld: Rise of the Lycans",2009,tt0834001,Moderate,Severe,None,None,Moderate
"The Pink Panther 2",2009,tt0838232,Mild,Mild,Mild,Mild,None
After.Life,2009,tt0838247,Moderate,Moderate,Moderate,Mild,Moderate
"Cloudy with a Chance of Meatballs",2009,tt0844471,None,Mild,Mild,None,Mild
"The Collector",2009,tt0844479,Moderate,Severe,Moderate,Mild,Severe
"The Last House on the Left",2009,tt0844708,Severe,Severe,Severe,Moderate,Severe
"Evangelion: 2.0 You Can (Not) Advance",2009,tt0860906,Moderate,Severe,Moderate,Mild,Severe
"Valhalla Rising",2009,tt0862467,Mild,Severe,Mild,Mild,Severe
"My Life in Ruins",2009,tt0865559,Moderate,,,,
Antichrist,2009,tt0870984,Severe,Severe,Mild,Mild,Severe
Nine,2009,tt0875034,Mild,None,Mild,Mild,None
"The Blind Side",2009,tt0878804,Mild,Mild,Mild,Mild,Mild
"All About Steve",2009,tt0881891,Moderate,None,Mild,Mild,Mild
"Luck by Chance",2009,tt0886539,None,None,Mild,Mild,None
"Brüno",2009,tt0889583,Severe,Mild,Severe,Mild,Mild
"Street Fighter: The Legend of Chun-Li",2009,tt0891592,Mild,Moderate,Mild,Moderate,Mild
Horsemen,2009,tt0892767,Mild,Severe,Severe,Mild,Severe
"Monsters vs. Aliens",2009,tt0892782,None,Mild,None,None,Mild
"The Road",2009,tt0898367,Mild,Moderate,Moderate,Mild,Severe
"Love Happens",2009,tt0899106,None,None,Mild,Mild,Mild
"Bride Wars",2009,tt0901476,Mild,None,Mild,Mild,None
"The Hills Run Red",2009,tt0907676,Severe,Severe,Severe,Moderate,Severe
"Frequently Asked Questions About Time Travel",2009,tt0910554,None,Moderate,Moderate,Mild,Mild
"In the Electric Mist",2009,tt0910905,Mild,Moderate,Moderate,Moderate,Moderate
Armored,2009,tt0913354,Mild,Moderate,Moderate,Mild,Mild
"Broken Embraces",2009,tt0913425,Moderate,Moderate,Mild,Mild,Mild
"Crossing Over",2009,tt0924129,Moderate,Moderate,Moderate,Moderate,Mild
"The Boys Are Back",2009,tt0926380,None,None,Mild,None,
Precious,2009,tt0929632,Severe,Moderate,Severe,Moderate,Severe
"The New Daughter",2009,tt0951335,None,Moderate,Mild,None,Moderate
"Nine Dead",2009,tt0959329,None,Severe,Moderate,Severe,
"Cabin Fever 2: Spring Fever",2009,tt0961722,Moderate,Severe,Severe,Mild,Severe
"The Young Victoria",2009,tt0962736,Mild,Mild,None,None,Mild
"The International",2009,tt0963178,None,Moderate,Moderate,Mild,Moderate
Tetro,2009,tt0964185,Moderate,Mild,Moderate,Moderate,Moderate
"Solomon Kane",2009,tt0970452,None,Moderate,None,Mild,Moderate
"A Perfect Getaway",2009,tt0971209,Mild,Severe,Severe,Moderate,Moderate
Creation,2009,tt0974014,Mild,Mild,None,None,Mild
"17 Again",2009,tt0974661,Moderate,Mild,Mild,Moderate,None
Bandslam,2009,tt0976222,None,None,None,Mild,Moderate
"Old Dogs",2009,tt0976238,Mild,Mild,Mild,Mild,Mild
"Mary and Max",2009,tt0978762,Moderate,Mild,Mild,Moderate,Moderate
Surrogates,2009,tt0986263,Mild,Moderate,Mild,Mild,Moderate
"Sherlock Holmes",2009,tt0988045,Mild,Moderate,Mild,Mild,Moderate
"He's Just Not That Into You",2009,tt1001508,Moderate,None,Mild,Mild,None
"Fast & Furious",2009,tt1013752,Moderate,Moderate,Moderate,Mild,Mild
Home,2009,tt1014762,,,,,
Fame,2009,tt1016075,None,None,Mild,Mild,Mild
Splice,2009,tt1017460,Severe,Moderate,Severe,Mild,Moderate
"A Serious Man",2009,tt1019452,Moderate,Mild,Moderate,Moderate,Mild
"Vampire Killers",2009,tt1020885,Moderate,Mild,Moderate,Moderate,Mild
"500 Days of Summer",2009,tt1022603,Mild,Mild,Moderate,Mild,None
Doghouse,2009,tt1023500,Mild,Severe,Severe,Mild,Severe
"Hachi: A Dog's Tale",2009,tt1028532,None,None,None,None,Mild
"I Love You, Beth Cooper",2009,tt1032815,Mild,None,Moderate,Mild,Mild
"Powder Blue",2009,tt1032819,Mild,Mild,Severe,Moderate,Moderate
"The Other Woman",2009,tt1032825,Mild,None,Severe,Mild,Mild
Gamer,2009,tt1034032,Severe,Severe,Severe,Moderate,Severe
"Coco Before Chanel",2009,tt1035736,Mild,None,Mild,Mild,None
Mammoth,2009,tt1038043,Moderate,Mild,Mild,Moderate,Mild
"The Proposal",2009,tt1041829,Mild,Mild,Mild,Mild,None
"I Love You Phillip Morris",2009,tt1045772,Severe,Moderate,Severe,Mild,Mild
"Year One",2009,tt1045778,Moderate,Moderate,Moderate,Mild,Mild
"G.I. Joe: The Rise of Cobra",2009,tt1046173,None,Moderate,Mild,Mild,Mild
Up,2009,tt1049413,None,Mild,None,None,Moderate
"The Grudge 3",2009,tt1053859,Mild,Severe,Moderate,Mild,Severe
"Desert Flower",2009,tt1054580,Moderate,Severe,Mild,None,Severe
